arm,session,round,username_1,username_2,task_1,task_2,design_1,design_2,strategy_1,strategy_2,collabBelief_1,collabBelief_2,usedRobot_1,usedRobot_2,score_1,score_2
control,06,28,user0053,user0054,28,17,Y,Y,I,I,12,12,false,false,50,50
control,06,29,user0053,user0054,21,9,M,L,C,C,85,91,false,false,96,100
control,06,30,user0053,user0054,6,1,M,M,C,C,87,100,false,false,122,122
treatment,01,1,user0015,user0016,6,1,M,M,C,C,86,88,true,true,122,122
treatment,01,2,user0015,user0016,0,13,K,L,C,C,92,78,true,false,130,106
treatment,01,3,user0015,user0016,20,2,K,L,C,C,93,87,true,false,130,114
treatment,01,4,user0015,user0016,15,4,M,K,C,C,93,83,false,true,130,100
treatment,01,5,user0015,user0016,3,25,M,K,C,C,92,83,false,false,106,130
treatment,01,6,user0015,user0016,12,8,M,M,C,C,94,83,false,true,114,106
treatment,01,7,user0015,user0016,9,21,L,K,C,C,98,84,false,false,100,122
treatment,01,8,user0015,user0016,18,14,K,K,C,C,95,92,false,false,106,100
treatment,01,9,user0015,user0016,22,26,M,M,C,C,100,94,false,false,114,122
treatment,01,10,user0015,user0016,8,12,M,M,C,C,98,86,false,false,106,114
treatment,01,11,user0015,user0016,4,15,K,M,C,C,99,87,false,false,100,130
treatment,01,12,user0015,user0016,14,18,K,K,C,C,99,88,false,false,100,106
treatment,01,13,user0015,user0016,11,29,L,M,C,C,99,88,false,false,122,100
treatment,01,14,user0015,user0016,17,28,K,K,C,C,99,93,false,false,114,106
treatment,01,15,user0015,user0016,13,0,L,K,C,C,99,87,false,false,106,130
treatment,01,16,user0015,user0016,25,3,K,M,C,C,99,86,false,true,130,106
treatment,01,17,user0015,user0016,7,27,K,L,C,C,97,83,false,false,114,114
treatment,01,18,user0015,user0016,19,5,M,L,C,C,100,91,false,false,100,130
treatment,01,19,user0015,user0016,5,19,L,M,C,C,98,84,false,false,130,100
treatment,01,20,user0015,user0016,23,16,L,L,C,C,96,85,false,false,106,122
treatment,01,21,user0015,user0016,24,10,L,K,C,C,96,92,false,false,100,130
treatment,01,22,user0015,user0016,10,24,K,L,C,C,97,86,false,false,130,100
treatment,01,23,user0015,user0016,29,11,M,L,C,C,99,91,false,false,100,122
treatment,01,24,user0015,user0016,1,6,M,M,C,C,99,96,false,false,122,122
treatment,01,25,user0015,user0016,27,7,L,K,C,C,99,83,true,false,114,114
treatment,01,26,user0015,user0016,16,23,L,L,C,C,97,91,false,false,122,106
treatment,01,27,user0015,user0016,2,20,L,K,C,C,98,92,false,false,114,130
treatment,01,28,user0015,user0016,26,22,M,M,C,C,97,88,false,false,122,114
treatment,01,29,user0015,user0016,28,17,K,K,C,C,98,87,false,false,106,114
treatment,01,30,user0015,user0016,21,9,K,L,C,C,99,95,false,false,122,100
treatment,01,1,user0017,user0018,0,13,L,K,C,C,91,83,true,false,105,82
treatment,01,2,user0017,user0018,20,2,L,K,C,C,84,82,true,false,105,88
treatment,01,3,user0017,user0018,15,4,K,K,C,C,90,83,true,true,105,100
treatment,01,4,user0017,user0018,3,25,L,K,C,C,82,87,true,false,82,130
treatment,01,5,user0017,user0018,12,8,L,K,C,C,90,87,true,false,100,95
treatment,01,6,user0017,user0018,9,21,M,K,C,C,85,89,true,false,72,122
treatment,01,7,user0017,user0018,18,14,L,K,C,C,90,90,true,false,82,100
treatment,01,8,user0017,user0018,22,26,K,K,C,C,89,92,true,false,88,107
treatment,01,9,user0017,user0018,8,12,K,K,C,C,76,91,true,false,95,88
treatment,01,10,user0017,user0018,4,15,K,K,C,C,88,95,true,false,100,105
treatment,01,11,user0017,user0018,14,18,K,K,C,C,85,95,true,false,100,106
treatment,01,12,user0017,user0018,11,29,L,K,C,C,90,97,true,false,122,72
treatment,01,13,user0017,user0018,17,28,L,K,C,C,89,98,true,false,100,106
treatment,01,14,user0017,user0018,13,0,M,K,C,C,85,99,true,false,95,130
treatment,01,15,user0017,user0018,25,3,L,K,C,C,97,97,true,false,105,95
treatment,01,16,user0017,user0018,7,27,M,K,C,C,98,99,true,false,100,100
treatment,01,17,user0017,user0018,19,5,K,K,C,C,90,100,true,false,72,115
treatment,01,18,user0017,user0018,5,19,K,K,C,C,97,87,true,false,115,72
treatment,01,19,user0017,user0018,23,16,K,K,C,C,94,94,true,false,95,107
treatment,01,20,user0017,user0018,24,10,L,K,C,C,93,95,true,false,100,130
treatment,01,21,user0017,user0018,10,24,M,K,C,C,91,98,true,false,115,72
treatment,01,22,user0017,user0018,29,11,L,K,C,C,91,97,true,false,88,107
treatment,01,23,user0017,user0018,1,6,M,K,C,C,98,96,true,false,122,96
treatment,01,24,user0017,user0018,27,7,K,K,C,C,91,98,true,false,100,114
treatment,01,25,user0017,user0018,16,23,M,L,C,C,87,99,true,false,96,106
treatment,01,26,user0017,user0018,2,20,L,K,C,C,97,98,true,false,114,130
treatment,01,27,user0017,user0018,26,22,L,M,C,C,93,100,true,false,96,114
treatment,01,28,user0017,user0018,28,17,L,K,C,C,100,99,true,false,95,114
treatment,01,29,user0017,user0018,21,9,L,L,C,C,98,100,true,false,107,100
treatment,01,30,user0017,user0018,6,1,M,M,C,C,99,100,true,false,122,122
treatment,02,1,user0019,user0020,6,1,M,M,C,C,100,71,true,false,122,122
treatment,02,2,user0019,user0020,0,13,K,L,C,C,100,66,true,false,130,106
treatment,02,3,user0019,user0020,20,2,K,L,C,C,100,73,false,false,130,114
treatment,02,4,user0019,user0020,15,4,K,K,C,C,97,65,false,false,105,100
treatment,02,5,user0019,user0020,3,25,M,K,C,C,88,61,false,false,106,130
treatment,02,6,user0019,user0020,12,8,M,M,C,C,94,68,false,false,114,106
treatment,02,7,user0019,user0020,9,21,L,M,C,C,95,56,false,false,100,96
treatment,02,8,user0019,user0020,18,14,K,K,C,C,98,67,false,false,106,100
treatment,02,9,user0019,user0020,22,26,M,L,C,C,98,63,false,false,114,96
treatment,02,10,user0019,user0020,8,12,M,M,C,C,99,61,false,false,106,114
treatment,02,11,user0019,user0020,4,15,K,M,C,C,99,57,false,false,100,130
treatment,02,12,user0019,user0020,14,18,K,K,C,C,100,59,false,false,100,106
treatment,02,13,user0019,user0020,11,29,K,M,C,C,100,60,false,false,107,100
treatment,02,14,user0019,user0020,17,28,K,K,C,C,99,57,false,false,114,106
treatment,02,15,user0019,user0020,13,0,L,K,C,C,99,57,true,false,106,130
treatment,02,16,user0019,user0020,25,3,K,M,C,C,99,58,false,false,130,106
treatment,02,17,user0019,user0020,7,27,K,L,C,C,96,55,false,false,114,114
treatment,02,18,user0019,user0020,19,5,M,M,C,C,100,63,false,false,100,105
treatment,02,19,user0019,user0020,5,19,L,K,C,C,100,57,false,false,130,72
treatment,02,20,user0019,user0020,23,16,L,L,C,C,98,62,false,false,106,122
treatment,02,21,user0019,user0020,24,10,L,K,C,C,100,60,false,false,100,130
treatment,02,22,user0019,user0020,10,24,K,L,C,C,99,61,false,false,130,100
treatment,02,23,user0019,user0020,29,11,M,L,C,C,99,62,false,false,100,122
treatment,02,24,user0019,user0020,1,6,M,M,C,C,99,54,false,false,122,122
treatment,02,25,user0019,user0020,27,7,L,K,C,C,99,58,false,false,114,114
treatment,02,26,user0019,user0020,16,23,L,L,C,C,100,55,false,false,122,106
treatment,02,27,user0019,user0020,2,20,L,K,C,C,100,55,false,false,114,130
treatment,02,28,user0019,user0020,26,22,M,M,C,C,100,59,false,false,122,114
treatment,02,29,user0019,user0020,28,17,K,K,C,C,100,63,false,false,106,114
treatment,02,30,user0019,user0020,21,9,K,L,C,C,100,55,false,false,122,100
treatment,02,1,user0021,user0022,0,13,K,L,C,C,97,69,false,false,130,106
treatment,02,2,user0021,user0022,20,2,K,L,C,C,97,59,false,false,130,114
treatment,02,3,user0021,user0022,15,4,M,K,C,C,95,63,false,false,130,100
treatment,02,4,user0021,user0022,3,25,M,K,C,C,95,64,false,false,106,130
treatment,02,5,user0021,user0022,12,8,M,M,C,C,96,58,false,false,114,106
treatment,02,6,user0021,user0022,9,21,L,K,C,C,96,64,false,false,100,122
treatment,02,7,user0021,user0022,18,14,K,K,C,C,94,61,false,false,106,100
treatment,02,8,user0021,user0022,22,26,M,M,C,C,95,67,false,false,114,122
treatment,02,9,user0021,user0022,8,12,M,M,C,C,96,67,false,false,106,114
treatment,02,10,user0021,user0022,4,15,K,M,C,C,96,70,false,false,100,130
treatment,02,11,user0021,user0022,14,18,K,K,C,C,94,69,false,false,100,106
treatment,02,12,user0021,user0022,11,29,L,M,C,C,96,67,false,false,122,100
treatment,02,13,user0021,user0022,17,28,K,K,C,C,96,63,false,false,114,106
treatment,02,14,user0021,user0022,13,0,L,K,C,C,95,60,false,false,106,130
treatment,02,15,user0021,user0022,25,3,K,M,C,C,97,62,false,false,130,106
treatment,02,16,user0021,user0022,7,27,K,L,C,C,97,67,false,false,114,114
treatment,02,17,user0021,user0022,19,5,M,L,C,C,98,62,false,false,100,130
treatment,02,18,user0021,user0022,5,19,L,M,C,C,97,68,false,false,130,100
treatment,02,19,user0021,user0022,23,16,L,L,C,C,96,62,false,false,106,122
treatment,02,20,user0021,user0022,24,10,L,K,C,C,90,65,false,false,100,130
treatment,02,21,user0021,user0022,10,24,K,L,C,C,98,67,false,false,130,100
treatment,02,22,user0021,user0022,29,11,M,L,C,C,94,65,false,false,100,122
treatment,02,23,user0021,user0022,1,6,M,M,C,C,94,67,false,false,122,122
treatment,02,24,user0021,user0022,27,7,L,K,C,C,91,65,false,false,114,114
treatment,02,25,user0021,user0022,16,23,L,L,C,C,95,63,false,false,122,106
treatment,02,26,user0021,user0022,2,20,L,K,C,C,92,67,false,false,114,130
treatment,02,27,user0021,user0022,26,22,M,M,C,C,95,63,false,true,122,114
treatment,02,28,user0021,user0022,28,17,K,K,C,C,93,61,false,false,106,114
treatment,02,29,user0021,user0022,21,9,K,L,C,C,94,67,false,false,122,100
treatment,02,30,user0021,user0022,6,1,M,M,C,C,96,68,false,false,122,122
treatment,03,1,user0031,user0032,6,1,K,M,C,C,96,69,false,false,96,122
treatment,03,2,user0031,user0032,0,13,L,L,C,C,100,73,false,false,105,106
treatment,03,3,user0031,user0032,20,2,Y,Y,I,I,99,27,false,false,50,50
treatment,03,4,user0031,user0032,15,4,Y,Y,I,I,98,72,false,false,50,50
treatment,03,5,user0031,user0032,3,25,M,Y,C,I,96,50,false,false,-19,50
treatment,03,6,user0031,user0032,12,8,L,L,C,C,98,68,false,false,100,82
treatment,03,7,user0031,user0032,9,21,M,Y,C,I,99,31,false,false,17,50
treatment,03,8,user0031,user0032,18,14,L,L,C,C,99,67,false,false,82,72
treatment,03,9,user0031,user0032,22,26,Y,Y,I,I,99,50,false,false,50,50
treatment,03,10,user0031,user0032,8,12,M,Y,C,I,100,68,false,false,-35,50
treatment,03,11,user0031,user0032,4,15,Y,Y,I,I,100,68,false,false,50,50
treatment,03,12,user0031,user0032,14,18,K,K,C,C,98,39,false,false,100,106
treatment,03,13,user0031,user0032,11,29,Y,Y,I,I,100,71,false,false,50,50
treatment,03,14,user0031,user0032,17,28,Y,Y,I,I,100,66,false,false,50,50
treatment,03,15,user0031,user0032,13,0,K,K,C,C,98,64,false,false,82,130
treatment,03,16,user0031,user0032,25,3,Y,Y,I,I,100,30,false,false,50,50
treatment,03,17,user0031,user0032,7,27,K,Y,C,I,99,64,false,false,-46,50
treatment,03,18,user0031,user0032,19,5,M,M,C,C,99,70,false,false,100,105
treatment,03,19,user0031,user0032,5,19,L,Y,C,I,99,62,false,false,-70,50
treatment,03,20,user0031,user0032,23,16,Y,Y,I,I,99,68,false,false,50,50
treatment,03,21,user0031,user0032,24,10,K,K,C,C,97,78,false,false,72,130
treatment,03,22,user0031,user0032,10,24,Y,Y,I,I,98,23,false,false,50,50
treatment,03,23,user0031,user0032,29,11,L,M,C,C,100,71,false,false,88,96
treatment,03,24,user0031,user0032,1,6,L,L,C,C,97,67,false,false,107,107
treatment,03,25,user0031,user0032,27,7,Y,Y,I,I,100,71,false,false,50,50
treatment,03,26,user0031,user0032,16,23,Y,Y,I,I,98,66,false,false,50,50
treatment,03,27,user0031,user0032,2,20,L,Y,C,I,99,71,false,false,-28,50
treatment,03,28,user0031,user0032,26,22,Y,Y,I,I,99,66,false,false,50,50
treatment,03,29,user0031,user0032,28,17,Y,Y,I,I,100,72,false,false,50,50
treatment,03,30,user0031,user0032,21,9,Y,M,I,C,98,75,false,false,50,17
treatment,03,1,user0033,user0034,0,13,M,L,C,C,100,93,true,true,115,106
treatment,03,2,user0033,user0034,20,2,L,M,C,C,98,93,true,true,105,100
treatment,03,3,user0033,user0034,15,4,M,L,C,C,100,97,true,true,130,88
treatment,03,4,user0033,user0034,3,25,K,K,C,C,98,95,false,false,95,130
treatment,03,5,user0033,user0034,12,8,M,M,C,C,100,97,true,false,114,106
treatment,03,6,user0033,user0034,9,21,L,M,C,C,97,94,true,true,100,96
treatment,03,7,user0033,user0034,18,14,K,L,C,C,99,96,true,false,106,72
treatment,03,8,user0033,user0034,22,26,M,M,C,C,99,98,true,true,114,122
treatment,03,9,user0033,user0034,8,12,M,L,C,C,99,98,true,false,106,100
treatment,03,10,user0033,user0034,4,15,K,K,C,C,99,98,true,false,100,105
treatment,03,11,user0033,user0034,14,18,K,M,C,C,98,98,true,false,100,95
treatment,03,12,user0033,user0034,11,29,L,M,C,C,98,97,true,true,122,100
treatment,03,13,user0033,user0034,17,28,K,K,C,C,99,97,true,false,114,106
treatment,03,14,user0033,user0034,13,0,L,K,C,C,100,97,false,false,106,130
treatment,03,15,user0033,user0034,25,3,K,M,C,C,100,98,true,false,130,106
treatment,03,16,user0033,user0034,7,27,K,M,C,C,99,99,false,false,114,88
treatment,03,17,user0033,user0034,19,5,M,M,C,C,100,99,false,false,100,105
treatment,03,18,user0033,user0034,5,19,L,M,C,C,100,99,false,false,130,100
treatment,03,19,user0033,user0034,23,16,L,L,C,C,100,97,false,false,106,122
treatment,03,20,user0033,user0034,24,10,L,L,C,C,100,96,false,false,100,105
treatment,03,21,user0033,user0034,10,24,K,M,C,C,98,96,false,true,130,88
treatment,03,22,user0033,user0034,29,11,M,L,C,C,100,97,false,false,100,122
treatment,03,23,user0033,user0034,1,6,M,M,C,C,99,97,false,false,122,122
treatment,03,24,user0033,user0034,27,7,L,M,C,C,97,96,false,false,114,100
treatment,03,25,user0033,user0034,16,23,L,L,C,C,99,96,false,false,122,106
treatment,03,26,user0033,user0034,2,20,L,K,C,C,99,96,false,false,114,130
treatment,03,27,user0033,user0034,26,22,M,M,C,C,100,96,false,false,122,114
treatment,03,28,user0033,user0034,28,17,K,L,C,C,99,94,false,false,106,100
treatment,03,29,user0033,user0034,21,9,K,L,C,C,97,97,true,false,122,100
treatment,03,30,user0033,user0034,6,1,M,M,C,C,99,98,true,false,122,122
treatment,04,1,user0039,user0040,6,1,M,M,C,C,100,100,false,false,122,122
treatment,04,2,user0039,user0040,0,13,L,L,C,C,100,100,false,false,105,106
treatment,04,3,user0039,user0040,20,2,L,L,C,C,100,100,false,false,105,114
treatment,04,4,user0039,user0040,15,4,K,K,C,C,100,100,false,false,105,100
treatment,04,5,user0039,user0040,3,25,M,M,C,C,100,100,false,false,106,115
treatment,04,6,user0039,user0040,12,8,M,M,C,C,100,100,false,false,114,106
treatment,04,7,user0039,user0040,9,21,L,L,C,C,100,100,false,false,100,107
treatment,04,8,user0039,user0040,18,14,K,K,C,C,100,100,false,false,106,100
treatment,04,9,user0039,user0040,22,26,M,M,C,C,100,100,false,false,114,122
treatment,04,10,user0039,user0040,8,12,M,M,C,C,100,100,false,false,106,114
treatment,04,11,user0039,user0040,4,15,K,K,C,C,100,100,false,false,100,105
treatment,04,12,user0039,user0040,14,18,K,K,C,C,100,100,false,false,100,106
treatment,04,13,user0039,user0040,11,29,L,L,C,C,100,100,false,false,122,88
treatment,04,14,user0039,user0040,17,28,K,K,C,C,100,100,false,false,114,106
treatment,04,15,user0039,user0040,13,0,L,L,C,C,100,100,false,false,106,105
treatment,04,16,user0039,user0040,25,3,M,M,C,C,100,100,false,false,115,106
treatment,04,17,user0039,user0040,7,27,K,K,C,C,100,100,false,false,114,100
treatment,04,18,user0039,user0040,19,5,M,M,C,C,100,100,false,false,100,105
treatment,04,19,user0039,user0040,5,19,M,M,C,C,100,100,false,false,105,100
treatment,04,20,user0039,user0040,23,16,L,L,C,C,100,100,false,false,106,122
treatment,04,21,user0039,user0040,24,10,L,L,C,C,100,100,false,false,100,105
treatment,04,22,user0039,user0040,10,24,L,L,C,C,100,100,false,false,105,100
treatment,04,23,user0039,user0040,29,11,M,M,C,C,100,100,false,false,100,96
treatment,04,24,user0039,user0040,1,6,M,M,C,C,100,100,false,false,122,122
treatment,04,25,user0039,user0040,27,7,K,K,C,C,100,100,false,false,100,114
treatment,04,26,user0039,user0040,16,23,L,L,C,C,100,100,false,false,122,106
treatment,04,27,user0039,user0040,2,20,L,L,C,C,100,100,false,false,114,105
treatment,04,28,user0039,user0040,26,22,M,M,C,C,100,100,false,false,122,114
treatment,04,29,user0039,user0040,28,17,K,K,C,C,100,100,false,false,106,114
treatment,04,30,user0039,user0040,21,9,L,L,C,C,100,100,false,false,107,100
treatment,04,1,user0041,user0042,0,13,Y,L,I,C,79,97,false,true,50,-85
treatment,04,2,user0041,user0042,20,2,Y,Y,I,I,0,87,false,true,50,50
treatment,04,3,user0041,user0042,15,4,Y,L,I,C,2,93,false,true,50,4
treatment,04,4,user0041,user0042,3,25,M,K,C,C,92,70,true,true,106,130
treatment,04,5,user0041,user0042,12,8,M,L,C,C,85,82,true,true,114,82
treatment,04,6,user0041,user0042,9,21,L,M,C,C,74,74,false,true,100,96
treatment,04,7,user0041,user0042,18,14,Y,Y,I,I,16,79,true,true,50,50
treatment,04,8,user0041,user0042,22,26,Y,Y,I,I,36,82,true,true,50,50
treatment,04,9,user0041,user0042,8,12,M,L,C,C,70,97,true,true,106,100
treatment,04,10,user0041,user0042,4,15,K,K,C,C,100,85,true,true,100,105
treatment,04,11,user0041,user0042,14,18,Y,Y,I,I,20,100,false,true,50,50
treatment,04,12,user0041,user0042,11,29,L,M,C,C,93,97,true,true,122,100
treatment,04,13,user0041,user0042,17,28,Y,Y,I,I,61,98,true,true,50,50
treatment,04,14,user0041,user0042,13,0,Y,Y,I,I,34,99,true,true,50,50
treatment,04,15,user0041,user0042,25,3,Y,M,I,C,94,97,false,true,50,-19
treatment,04,16,user0041,user0042,7,27,M,M,C,C,83,100,true,true,100,88
treatment,04,17,user0041,user0042,19,5,M,Y,C,I,94,94,true,true,-68,50
treatment,04,18,user0041,user0042,5,19,M,Y,C,I,61,99,true,true,-33,50
treatment,04,19,user0041,user0042,23,16,Y,Y,I,I,18,98,true,true,50,50
treatment,04,20,user0041,user0042,24,10,L,K,C,C,100,100,true,true,100,130
treatment,04,21,user0041,user0042,10,24,Y,L,I,C,95,100,false,true,50,-150
treatment,04,22,user0041,user0042,29,11,Y,Y,I,I,67,100,false,true,50,50
treatment,04,23,user0041,user0042,1,6,M,M,C,C,100,100,true,true,122,122
treatment,04,24,user0041,user0042,27,7,Y,L,I,C,83,100,true,true,50,-8
treatment,04,25,user0041,user0042,16,23,M,M,C,C,89,99,true,true,96,82
treatment,04,26,user0041,user0042,2,20,M,L,C,C,90,100,false,true,100,105
treatment,04,27,user0041,user0042,26,22,Y,Y,I,I,0,100,false,true,50,50
treatment,04,28,user0041,user0042,28,17,Y,Y,I,I,47,0,true,true,50,50
treatment,04,29,user0041,user0042,21,9,Y,Y,I,I,24,30,true,true,50,50
treatment,04,30,user0041,user0042,6,1,M,M,C,C,100,100,false,true,122,122
treatment,05,1,user0047,user0048,6,1,M,Y,C,I,100,75,true,true,-60,50
treatment,05,2,user0047,user0048,0,13,K,Y,C,I,100,87,true,false,-48,50
treatment,05,3,user0047,user0048,20,2,K,M,C,C,100,100,true,true,130,100
treatment,05,4,user0047,user0048,15,4,M,M,C,C,100,85,true,true,130,72
treatment,05,5,user0047,user0048,3,25,Y,Y,I,I,0,0,true,true,50,50
treatment,05,6,user0047,user0048,12,8,M,Y,C,I,91,93,true,true,-100,50
treatment,05,7,user0047,user0048,9,21,L,Y,C,I,100,4,false,true,-25,50
treatment,05,8,user0047,user0048,18,14,K,Y,C,I,99,100,true,true,-118,50
treatment,05,9,user0047,user0048,22,26,Y,Y,I,I,100,1,true,false,50,50
treatment,05,10,user0047,user0048,8,12,M,L,C,C,100,66,true,true,106,100
treatment,05,11,user0047,user0048,4,15,K,Y,C,I,83,25,false,false,-9,50
treatment,05,12,user0047,user0048,14,18,K,K,C,C,100,62,true,true,100,106
treatment,05,13,user0047,user0048,11,29,Y,Y,I,I,15,58,true,false,50,50
treatment,05,14,user0047,user0048,17,28,K,Y,C,I,89,1,false,false,-142,50
treatment,05,15,user0047,user0048,13,0,L,M,C,C,100,100,false,true,106,115
treatment,05,16,user0047,user0048,25,3,K,M,C,C,100,100,false,true,130,106
treatment,05,17,user0047,user0048,7,27,K,Y,C,I,100,21,false,true,-46,50
treatment,05,18,user0047,user0048,19,5,M,Y,C,I,100,100,false,true,-68,50
treatment,05,19,user0047,user0048,5,19,K,Y,C,I,100,91,false,false,-48,50
treatment,05,20,user0047,user0048,23,16,Y,Y,I,I,18,15,false,false,50,50
treatment,05,21,user0047,user0048,24,10,L,L,C,C,100,85,true,true,100,105
treatment,05,22,user0047,user0048,10,24,K,Y,C,I,100,96,true,true,-140,50
treatment,05,23,user0047,user0048,29,11,L,Y,C,I,95,82,false,false,-165,50
treatment,05,24,user0047,user0048,1,6,K,K,C,C,98,96,false,false,96,96
treatment,05,25,user0047,user0048,27,7,L,L,C,C,97,93,true,false,114,88
treatment,05,26,user0047,user0048,16,23,Y,Y,I,I,100,35,false,false,50,50
treatment,05,27,user0047,user0048,2,20,Y,Y,I,I,15,23,true,false,50,50
treatment,05,28,user0047,user0048,26,22,Y,Y,I,I,100,7,true,false,50,50
treatment,05,29,user0047,user0048,28,17,K,Y,C,I,97,29,true,true,-270,50
treatment,05,30,user0047,user0048,21,9,M,L,C,C,100,100,false,false,96,100
treatment,05,1,user0049,user0050,0,13,K,Y,C,I,55,92,false,true,-48,50
treatment,05,2,user0049,user0050,20,2,L,L,C,C,81,100,false,true,105,114
treatment,05,3,user0049,user0050,15,4,K,M,C,C,74,100,false,true,105,72
treatment,05,4,user0049,user0050,3,25,Y,Y,I,I,22,26,false,false,50,50
treatment,05,5,user0049,user0050,12,8,L,L,C,C,91,94,false,true,100,82
treatment,05,6,user0049,user0050,9,21,K,Y,C,I,76,95,false,true,-7,50
treatment,05,7,user0049,user0050,18,14,L,L,C,C,74,96,false,true,82,72
treatment,05,8,user0049,user0050,22,26,Y,Y,I,I,14,19,true,false,50,50
treatment,05,9,user0049,user0050,8,12,K,Y,C,I,50,96,false,true,-18,50
treatment,05,10,user0049,user0050,4,15,Y,Y,I,I,59,14,false,false,50,50
treatment,05,11,user0049,user0050,14,18,Y,Y,I,I,83,17,true,false,50,50
treatment,05,12,user0049,user0050,11,29,Y,Y,I,I,72,23,true,false,50,50
treatment,05,13,user0049,user0050,17,28,Y,Y,I,I,73,20,false,false,50,50
treatment,05,14,user0049,user0050,13,0,K,K,C,C,97,91,false,false,82,130
treatment,05,15,user0049,user0050,25,3,Y,Y,I,I,50,21,false,false,50,50
treatment,05,16,user0049,user0050,7,27,Y,Y,I,I,35,17,false,false,50,50
treatment,05,17,user0049,user0050,19,5,Y,Y,I,I,50,24,false,false,50,50
treatment,05,18,user0049,user0050,5,19,Y,Y,I,I,63,21,false,false,50,50
treatment,05,19,user0049,user0050,23,16,Y,Y,I,I,46,9,true,false,50,50
treatment,05,20,user0049,user0050,24,10,K,Y,C,I,41,17,false,false,-40,50
treatment,05,21,user0049,user0050,10,24,Y,Y,I,I,19,19,false,false,50,50
treatment,05,22,user0049,user0050,29,11,Y,Y,I,I,20,19,false,false,50,50
treatment,05,23,user0049,user0050,1,6,L,M,C,C,96,94,false,true,107,122
treatment,05,24,user0049,user0050,27,7,K,L,C,C,100,90,false,false,100,88
treatment,05,25,user0049,user0050,16,23,M,Y,C,I,99,92,false,true,-90,50
treatment,05,26,user0049,user0050,2,20,Y,Y,I,I,11,20,false,false,50,50
treatment,05,27,user0049,user0050,26,22,Y,Y,I,I,9,16,true,false,50,50
treatment,05,28,user0049,user0050,28,17,Y,Y,I,I,5,8,false,false,50,50
treatment,05,29,user0049,user0050,21,9,M,M,C,C,66,93,false,false,96,72
treatment,05,30,user0049,user0050,6,1,M,K,C,C,96,97,false,false,122,96
treatment,06,1,user0055,user0056,6,1,M,M,C,C,92,93,true,false,122,122
treatment,06,2,user0055,user0056,0,13,K,M,C,C,99,93,true,false,130,95
treatment,06,3,user0055,user0056,20,2,K,L,C,C,100,91,false,false,130,114
treatment,06,4,user0055,user0056,15,4,M,K,C,C,100,87,true,false,130,100
treatment,06,5,user0055,user0056,3,25,M,K,C,C,100,79,false,false,106,130
treatment,06,6,user0055,user0056,12,8,M,M,C,C,100,86,false,false,114,106
treatment,06,7,user0055,user0056,9,21,L,K,C,C,100,88,false,false,100,122
treatment,06,8,user0055,user0056,18,14,K,K,C,C,100,89,false,false,106,100
treatment,06,9,user0055,user0056,22,26,M,M,C,C,100,84,false,false,114,122
treatment,06,10,user0055,user0056,8,12,M,M,C,C,50,84,false,false,106,114
treatment,06,11,user0055,user0056,4,15,K,M,C,C,95,87,false,false,100,130
treatment,06,12,user0055,user0056,14,18,K,K,C,C,100,77,false,false,100,106
treatment,06,13,user0055,user0056,11,29,L,M,C,C,100,80,false,false,122,100
treatment,06,14,user0055,user0056,17,28,K,K,C,C,100,78,false,false,114,106
treatment,06,15,user0055,user0056,13,0,L,K,C,C,100,80,false,false,106,130
treatment,06,16,user0055,user0056,25,3,K,M,C,C,100,88,false,false,130,106
treatment,06,17,user0055,user0056,7,27,M,L,C,C,100,77,false,false,100,114
treatment,06,18,user0055,user0056,19,5,M,L,C,C,100,74,false,false,100,130
treatment,06,19,user0055,user0056,5,19,L,M,C,C,100,85,true,false,130,100
treatment,06,20,user0055,user0056,23,16,L,L,C,C,100,93,false,false,106,122
treatment,06,21,user0055,user0056,24,10,L,K,C,C,100,80,false,false,100,130
treatment,06,22,user0055,user0056,10,24,K,L,C,C,100,79,true,false,130,100
treatment,06,23,user0055,user0056,29,11,M,L,C,C,100,75,false,false,100,122
treatment,06,24,user0055,user0056,1,6,M,M,C,C,95,78,false,false,122,122
treatment,06,25,user0055,user0056,27,7,L,K,C,C,95,70,true,false,114,114
treatment,06,26,user0055,user0056,16,23,L,L,C,C,97,89,false,false,122,106
treatment,06,27,user0055,user0056,2,20,M,K,C,C,97,86,false,false,100,130
treatment,06,28,user0055,user0056,26,22,M,M,C,C,98,81,false,false,122,114
treatment,06,29,user0055,user0056,28,17,K,K,C,C,98,81,false,false,106,114
treatment,06,30,user0055,user0056,21,9,K,L,C,C,97,81,false,false,122,100
treatment,06,1,user0057,user0058,0,13,K,L,C,C,91,100,true,false,130,106
treatment,06,2,user0057,user0058,20,2,K,L,C,C,100,100,true,false,130,114
treatment,06,3,user0057,user0058,15,4,M,K,C,C,97,100,true,false,130,100
treatment,06,4,user0057,user0058,3,25,M,K,C,C,100,100,true,false,106,130
treatment,06,5,user0057,user0058,12,8,M,M,C,C,98,100,false,false,114,106
treatment,06,6,user0057,user0058,9,21,L,K,C,C,98,100,true,false,100,122
treatment,06,7,user0057,user0058,18,14,K,K,C,C,98,100,false,false,106,100
treatment,06,8,user0057,user0058,22,26,M,M,C,C,99,100,false,false,114,122
treatment,06,9,user0057,user0058,8,12,M,M,C,C,97,100,false,false,106,114
treatment,06,10,user0057,user0058,4,15,K,M,C,C,100,100,false,false,100,130
treatment,06,11,user0057,user0058,14,18,K,K,C,C,89,100,false,false,100,106
